	예문 1	변형 단어 1	예문 2	변형 단어 2	예문 3	변형 단어 3	예문 4	변형 단어 4	예문 5	변형 단어 5	예문 6	변형 단어 6
자기 혐오	네가 이전에는 겪어보지 못했을 격하고 거친 감정이겠지, 그게 바로 자기 혐오라는 거야. 	자기 혐오	자기 혐오는 새벽 3시에 찾아온다. 잠들면 지나가고, 깨어있으면 복잡한 그 때에.	자기 혐오	자살이 아닙니다. 자기 혐오가 내 살인의 근거예요. 	자기 혐오	자기 혐오는 완벽주의자들에게서 더욱 도드라진다.	자기 혐오	지금껏 시간을 낭비하기만 했다는 자기 혐오가 방 한구석에서 피어올랐다.	자기 혐오	최선을 다해 임하지 않은 스스로가 부끄러워 이후 심한 자기 혐오가 생겼다. 	자기 혐오
적의	뚜렷한 적의가 나를 관통했다.	적의	일말의 원망도, 적의도 담기지 않은 눈동자는 한없이 공허했다. 	적의	시간에 대한 적의, 구인류는 그 광기에 사로잡혔었던 게 분명하다니까.	적의	적의를 품고 거칠게 숨을 내쉬며 다가오는 모습에서 공포를 느꼈다. 	적의	적의가 가득한 눈빛으로 나를 바라보았다.	적의	적의가 가득한 질문에 친절히 답해줄 이유는 없었다.	적의
통한	그 아비는 자신의 잘못과 떠나버린 배우자의 빈자리에 통한했다.	통한했다	통한의 눈물이 볼을 타고 흘렀다. 	통한	역사는 승자에 의해 적혀지고 사망자는 숫자가 될 뿐이다. 생존자에게는 참으로 통한한 일이었다. 	통한한	그 죄수는 과거의 잘못에 대해 깊이 통한했다. 	통한했다	통한의 절규가 산을 쩌렁쩌렁하게 만들었다. 	통한	오랜만의 축제는 나의 통한함을 잠깐이나마 잊게 해 주었다. 	통한함
한맺히다	한 맺힌 외침이 공중에서 흩어졌다.	한 맺힌	한 맺힌 만남은 마냥 설레지만은 않았고	한 맺힌	그래, 그 아이의 맺힌 한이라도 마땅히 풀어 주어야겠지	맺힌 한	팔에 남겨진 손톱자국에서 한 맺힌 절규가 들리는 듯 했다. 	한 맺힌	한 맺힌 설움이 터져 나왔다.	한 맺힌	깊은 한 맺힌 눈빛이 나에게로 향했을 때의 감각이 가시질 않는다.	한 맺힌
한탄하다	스승은 시대를 잘 못 만난 천재를 보고 한탄했다.	한탄했다	민수는 도대체 사랑이 뭔데 나를 그렇게 초라하게 만드는지 모르겠어, 하고 한탄했다. 	한탄했다	깊이 한탄하는 친구의 설움을 묵묵히 받아내었다. 진득한 고됨이 버거웠다. 	한탄하는	언제까지나 그저 한탄하는 친구를 달래고만 있을 순 없었다. 	한탄하는	귀인을 놓친 어리석음에 크게 한탄했다.	한탄했다	사랑하던 이를 대하는 나의 태도에는 한탄하는 마음뿐이었다. 	한탄하는
질색하다	더러워진 방, 규칙이라고는 없고 난잡하고 냄새나는 공간에 대해 진심으로 질색했다. 	질색했다	질색하는 친구의 팔을 끌었다. 그렇게 최악은 아닐거야, 보장해.	질색하는	너 이러는 거 딱 질색이야, 여기까지만 해.	질색	낯간지럽다며 질색하던 모습은 어디로 갔는지, 몹시 신난 모습이었다.	질색하던	질색하는 모습을 보니 자꾸만 장난을 치고 싶어진다.	질색하는	이렇게 실망스러운 모습 정말 질색이다. 	질색
짜증내다	비어버린 술병에서 술이 흘러나오지 않음에 짜증을 와락 내고서 일어났다.	짜증을 와락 내고서	짜증내는 친구를 가만히 바라보았다. 내가 알던 사람이 맞는지를 가늠하던 시간이었다.	짜증내는	충분히 짜증날 법한 상황이라는 말을 계속 듣고 싶었다. 내가 정상이고 상황이 비정상이라는 그 말을.	짜증날	예정에 없던 일정이 갑작스레 생기자 얼굴을 찌푸리며 짜증냈다.	짜증냈다	제 뜻대로 되지 않아 볼을 부풀리며 짜증내는 모습조차 놓치고 싶지 않았다. 	짜증내는	짜증날 만 한데도 내 옆에 있는 한 존재 때문에 모든 것이 그저 좋았다.	짜증날
감명	학생들은 선생님의 희생에 깊이 감명했다.	감명했다	나에게 감명받은 사람들이 무언가를 기대하고 말을 걸어오기 시작할 때, 나는 급속도로 불안해지기 시작했다. 	감명받은	고개를 가만히 끄덕였다. 드물게 찾아오는 감명을 대하는 나의 환영이다.	감명	웅장한 작품을 직접 마주하였을 때 크게 감명받았다.	감명받았다	감명받은 작곡가는 방에 틀어박혀 삼일 밤을 새더니 걸작을 만들어 내었다.	감명받은	정성을 다해 나를 간호하는 모습에서 크게 감명받았다.	감명받았다
감미롭다	첫 월급으로 산 티라미수는 정말 감미로웠다.	감미로웠다	노력으로는 차마 따라할 수 없는 감미로운 선율에 정신을 차릴 수가 없었다. 	감미로운	감미롭게 들리던 자장가가 끝났을 때 잠에서 깼다.	감미롭게	볼을 스치는 바람마저 감미롭게 느껴졌다.	감미롭게	청명하고 감미로운 풍경 소리가 여행자를 반겼다.	감미로운	여행지에서 우연히 듣게 된 고향의 노래가 더없이 감미롭게 느껴진다. 	감미롭게
낙	싸늘해진 시체를 애써 안으며 너마저 없으면 내가 무슨 낙으로 살아, 하고 끅끅댔다.	낙	삶의 낙 하나 정도는 구비해 놓는 게 좋아, 구급함처럼	낙	당신이 그렇게나 찾아주려던 내 낙(락)은 없어요, 하루가 평화롭길 바라요. 	낙	누군가에게 보여지고 사랑받는 것에서 삶의 낙을 느끼는 사람도 있다. 	낙	삶의 낙이라고는 느낀 적 없다는 듯 공허해 보였다.	낙	일과를 마치고 식물을 돌보는 것이 나의 소소한 낙이다. 	낙
고맙다	아무 말 없이 토닥여주는 것이 그저 고마웠다.	고마웠다	고마운 말을 채 다하지도 못한 채 날을 샜다.	고마운	고마워서 어째요 이걸, 정말 고맙습니다, 미안해요..	고마워서	무엇보다도 직위가 아닌, 자신의 이름을 꼬박꼬박 불러주는 것이 고마웠다. 	고마웠다	다정이 묻어나는 고마운 선물을 소중하게 껴안았다. 	고마운	매년 나의 생일을 잊지 않고 챙겨주는 것이 고마웠다. 	고마웠다
긍지	그녀는 언제나 자신의 혈통에 긍지가 높았다. 	긍지가 높았다	그녀는 전쟁에 참전하여 가문의 긍지를 살렸다.	긍지를 살렸다	볼품없는 긍지 뒤에는 끊임없는 허송세월이 있다. 	긍지	무너진 긍지를 드높이기 위해 온갖 애를 썼다.	긍지	긍지 높은 가문의 자제는 혈통이 자신을 증명한다고 떠들어대며 더없이 오만하게 굴었다.	긍지	가문으로부터 버려진 공녀는 허울뿐인 긍지로 가득찬 가문의 절멸을 간절히 원했다. 	긍지
떳떳하다	조사과정 내내 한 치의 거짓도 없이 떳떳했다.	떳떳했다	어떻게 그렇게 떳떳한 모습을 하고 살아있었을까. 나의 친부라는 사람이. 	떳떳한	떳떳하게 모든 조사에 임하겠다며 당당한 모습을 보였기에 하마터면 속을 뻔 했다.	떳떳하게	온갖 갖은 수를 다 쓰는 경기에서 자신만은 최선을 다하였기에 떳떳할 수 있었다. 	떳떳했다	목숨이 위협받는 상황에서도 떳떳하게 대처한 모습을 보고 사랑에 빠지지 않을 수 없었다.	떳떳하게	그제서야 떳떳한 마음으로 거울에 비치는 자신의 모습을 바라볼 수 있었다. 	떳떳한
만족하다	병사들의 강도 높은 훈련에 조사관은 만족했다.	만족했다	잔을 시끄럽게 내려놓고 입가에 만족한 미소를 걸었다. 	만족한	그는 아주 만족스럽게 나의 충만한 사랑을 이고 나를 떠났다. 	만족스럽게	찰나의 꿈 같았지만 함께 시간을 보낼 수 있었던 것 만으로 만족했다. 	만족했다	터무니없는 가격에도 그저 원하던 물건을 구해 만족한 모습이었다.	만족한	고객을 만족시킬 수 있는 방안에 대해서 고민하는 것까지가 상인의 책임입니다. 	만족
동감하다	잔을 들어 동감했다. 이 자리에 있는 사람의 결말은 아마 같을 것이기에.	동감했다	이 발언에 동감하는 사람이 있다면 일전에 나눠드린 장미를 책상에 올려주시면 됩니다. 	동감하는	나 또한 그의 말인지라 적극적으로 동감하고 싶었으나, 그럼에도 불구하고 내 상황이 나를 말렸다.	동감	내 이야기에 눈물을 흘리며 동감하는 그를 보고 마음이 울렁거렸다.	동감하는	비슷한 처지의 그녀에게 크게 동감했다.	동감했다	그 행인은 모금의 취지를 듣고서 크게 동감했다. 	동감했다
속시원하다	주인공의 행보가 속시원했다. 나는 그렇게 하지 못할 것이 분명하니까. 	속시원했다	예원이는 내심 속이 시원한지 살며시 웃었다. 	속이 시원한지	속 시원하게 교문을 나섰다. 다음 번에는 다른 상황에서 학교로 돌아올 수 있기를 바라며.	속 시원하게	차마 하지 못하고 있던 말을 꺼내고 나니 속시원했다.	속시원했다	회포를 풀며 속 시원하게 서로의 생각을 물었다.	속 시원하게	선화는 내내 집에만 있다가 간만의 여행에 속이 시원한지 내내 웃었다. 	속이 시원한지
정답다	서로의 안부를 묻고 또 걱정하는 이 마을이 참 정답다.	정답다	그 정다운 사랑이 나를 걱정하고 있었다. 	정다운	우리 가족만은 정답게 지내야 하지 않겠니, 응? 	정답게	벽 너머의 일까지 알고 있는 걸 정답다고 언제까지 포장할 수 있었을까	정답다	이름이 비슷해 짝이 되었으나 우리는 제법 정다운 사이였다. 	정다운	빛이 들어오는 틈새로 알감자를 쥔 손이 쑥 들어오더니, 정답게 흔들며 바닥에 놓아두었다. 	정답게
정겹다	놓지 않은 것 처럼 잡은 저 어린 손들이 정겹다.	정겹다	창문 너머의 정겨운 냄새가 나를 잠에서 깨웠다. 	정겨운	한옥에서의 밤은 나에게 언제나 정겹게 다가온다.	정겹게	자신있는 음식을 하나씩 들고 식사를 함께하는 모습이 정겹다.	정겹다	정겨운 풍경이 무엇보다도 아름다웠다.	정겨운	문 밖의 투닥거림조차 정겹게 들렸다.	정겹게
충족감	내가 책임져야 할 생명은 나에게 정신적 충족감을 안겨준다.	충족감	비싸고 귀한 것만 죄다 쥐어주면 나는 방 안에서 그저 충족감만 느끼며 살아야 하나요? 	충족감	사람이란 것이 본디 간사해서, 처음에는 충족감을 느끼다가도 변모할 것이 뻔했다.	충족감	만족스러운 하루를 마무리할때의 충족감이 마음에 든다.	충족감	성장과정에서의 충족감이 충분하지 않아 성인기에 다다르고서 결핍을 깨닫는 사람들이 많아요.	충족감	현존하는 말로서 표현할 수 없는 충족감을 찾아냈다는 기쁨이었다. 	충족감
흐뭇하다	그 예술가는 자신의 작품에서 감명받는 사람들이 무엇보다도 흐뭇했다.	흐뭇했다	나에게서 배운 걸음으로 나아가는 자식을 바라보는 것은 흐뭇한 일이었다. 	흐뭇한	살인자는 현장을 유유히 빠져나가며 아비규환을 흐뭇하게 바라보았다.	흐뭇하게	먹성좋게 자신이 만든 음식을 해치우는 모습이 몹시 흐뭇했다.	흐뭇했다	그 화가는 걸작을 완성했다며 흐뭇한 눈으로 작품을 바라보았다.	흐뭇한	긴 전쟁 끝에 찾아온 평화를 용사의 정인은 누구보다도 흐뭇하게 맞이했다. 	흐뭇하게
흡족하다	삼일 밤을 갈아넣은 결과는 무척 흡족했다. 	흡족했다	이전 근무자는 인수인계가 끝나자 흡족한 발걸음으로 떠났다. 	흡족한	무명작가는 흡족하게 계약을 마치고 일어났다.	흡족하게	사람이 가득 찬 자신의 전시회를 보며 흡족해했다.	흡족했다	숨겨진 내막을 낱낱히 밝힌 신문기사를 읽으며 흡족한 미소를 지었다.	흡족한	각고의 노력 끝에 개발한 요리에 대한 격렬한 반응은 요리사를 흡족하게 만들었다. 	흡족하게
고독하다	카랑대며 울리는 검은 상대가 없어 한없이 고독했다.	고독했다	고독한 상황 속에서도 절대 자신을 잃지 말고, 잊지 말 것.	고독한	가만히 두면 먼저 울릴 일이 없는 핸드폰이 이따금 고독하게 느껴졌다. 	고독하게	수많은 비난 속에서도 꿋꿋히 맞서는 용사는 누구보다도 용맹하고 고독했다. 	고독했다	고독한 마음을 숨기는 데에 능숙해진 아이들이 안타까웠다. 	고독한	가족을 모두 잃어 저택에 홀로 남은 그의 모습은 무척이나 고독해 보였다.	고독해
공허하다	함께하지만 서로를 보지 않는 순간들이 공허했다.	공허했다	울지도 않고 그저 고인을 쓰다듬는 공허한 손짓이 안쓰러웠다.	공허한	공허하게 비워둔 공간은 누군가를 기다리는 것 같았다.	공허하게	뚜렷한 성취도 없는 허울뿐인 성공은 그저 공허했다. 	공허했다	나는 공허한 손길로 허공만을 휘저을 뿐이었다. 	공허한	항상 공허하게 비워둔 자리가 마침내 주인을 찾았다. 	공허하게
권태롭다	어떠한 의무도 없지만 권리 또한 없었기에, 그저 권태로웠다.	권태로웠다	별 거 없다. 권태로운 일상이 흐르기만 할 뿐이다. 	권태로운	일상이 권태로워 견딜 수 없었고 사람이 그것을 채울 수 있으리라 믿었다. 	권태로워	선택할 대안조차 없이 그저 시간을 흘려보내는 것은 권태롭다. 	권태롭다	또 시작이냐며 권태로운 눈길로 나를 바라보고선 손을 휘저었다.	권태로운	지위를 얻은 후 변심한 그는 누구보다도 권태롭게 지내고 있었다.	권태롭게
따분하다	친밀감을 위해 늘어놓는 서로의 일상은 지독하게 따분했다. 	따분했다	앉아있을 이유는 없지만, 굳이 일어설 이유도 없는 따분한 인간.	따분한	지나간 열의를 따분하게 바라보았다. 	따분하게	수준에 맞지 않는 사람과 이야기를 나누려니 몹시 따분했다.	따분했다	따분한 이야기만을 늘어놓아 시간이 아까울 지경이었다.	따분한	그 후작 영애는 따분한 분위기를 환하게 밝히는 웃음을 보이며 등장했다.  	따분한
무색하다	서울의 한강은 생각보다 더럽고 무색하다.	무색하다	그는 황실 기사가 무색할 정도의 실력자였다. 	무색할	애써 건넨 손이 무색하게 될 지경이었다. 	무색하게	기껏 건넨 도움이 무색하게 그는 나를 못 본 체하며 지나쳐 가버렸다. 	무색하게	더러운 테이블보와 먼지 쌓인 조화로 가득찬 파티장은 평민들의 기대가 무색할 지경이었다. 	무색할	호의를 대놓고 거절하자 무색하여 어쩔 줄 몰래 했다. 	무색하여
시무룩하다	사촌동생은 제 기대와 다른 현실을 마주하곤 풀이 죽어 시무룩했다. 	시무룩했다	시무룩한 나를 달래는 건 언제나 너였지.	시무룩한	시무룩하게 튀어나온 입을 가만히 매만졌다. 	시무룩하게	성과를 내었으나 기대만큼의 대우를 받지 못해 시무룩했다. 	시무룩했다	그녀의 시무룩한 어깨가 눈에 아른거렸다. 	시무룩한	그의 오래된 친우는 그가 실패를 겪고 시무룩하여 기가 죽어있는 모습을 바라보기 힘들어했다. 	시무룩하여
쓸쓸하다	현재는 함께하더라도 결국 다른 미래를 바라보고 있는 우리의 관계가 쓸쓸했다.	쓸쓸했다	진정으로 쓸쓸한 사람은 군중 속에서 더욱 고독을 느낀다.	쓸쓸한	어두운 집의 간접등을 켰다. 밖에서 보면 쓸쓸하게 느껴지려나.	쓸쓸하게	전생의 나는 마음 둘 곳 하나 없이 쓸쓸했다.	쓸쓸했다	쓸쓸한 마음으로 주인없는 빈 집을 청소하기 시작했다. 	쓸쓸한	할 수 있는 것은 없어 쓸쓸하게 서류뭉치들을 차근차근 처리할 뿐이었다.	쓸쓸하게
울적하다	노력이 빛을 발하지 못해 꺼져버릴 때, 어떤 때보다도 울적했다.	울적했다	친구의 우스꽝스러운 행동에 울적한 방이 활기로 가득 찼다. 	울적한	울적하게 시간을 보내는 것도 지친 나를 위한 시간이 되곤 한다. 	울적하게	날씨는 이다지도 맑은데 나는 홀로 울적했다.	울적했다	울적한 내가 보이지도 않는 듯 노래를 흥얼거리는 모습에서 큰 실망감을 느꼈다.	울적한	집에만 울적하게 있는 것보다는 낫다며 손을 이끌었다. 	울적하게
우울하다	우울하다는 말만 듣고 자란 아이가 무슨 말을 내뱉을지 두렵지도 않으신가요?	우울하다	우울한 친구를 대하는 최고의 방법은 사소한 일상을 함께하는 거예요. 	우울한	지나친 예민함으로 선의를 바로 보지 못하는 스스로가 참 우울하게 느껴졌다. 	우울하게	용기를 내어 뻗은 손이 거절당한 후 외로움이 남았다. 우울한 날들의 연속이었다.	우울한	우울한 사람에게는 격려조차 강요로 느껴지기 마련이다.	우울한	온갖 시도를 해도 변하지 않는 현실을 성숙하고 우울하게 받아들였다.	우울하게
의기소침하다	신입사원은 만족할 만한 성과가 나지 않아 의기소침했다. 	의기소침했다	의기소침한 친구를 어르고 달랬다. 너는 뭐든 할 수 있다고. 	의기소침한	의기소침하게 도전하면 사람들은 그냥 도전하는 사람이라고 생각해. 겁내지 마.	의기소침하게	의기소침하던 것도 한 순간이었으며 본래의 허영심이 그 몸을 지배했다.	의기소침	여러 번의 탈락에 의기소침해진 친구를 위해 깜짝 선물을 준비했다.	의기소침해진	그제서야 눈치가 보이는지 의기소침하게 말을 걸기 시작했다. 	의기소침하게
풀죽다	프레젠테이션에서 지적을 많이 받은 발표자는 풀죽었다.	풀죽었다	새로운 사람은 풀죽은 티를 감추는 데에 능했다. 	풀죽은	당차게 떠난 그는 풀죽은 표정으로 돌아왔다. 	풀죽은	쩌렁쩌렁한 호통에 풀죽어 방으로 들어갔다. 	풀죽어	당차기만 하던 신입은 여러 번의 지적에 풀죽은 모양이었다.	풀죽은	신인 작가는 비평가 앞에서 풀죽어 보였다.	풀죽어
허전하다	일주일 전과 달리 비어버린 옆자리가 허전했다.	허전했다	저는 허전한 마음을 채울 방법에 대해서는 배운 적이 없어요.	허전한	한없이 익숙하던 공간이 허전하게 다가올 때 떠난 사람에게 익숙해졌다는 것을 꺠달았다.	허전하게	졸업식 날 마지막으로 찾아간 교실은 허전했다. 	허전했다	평소와 다름없던 하루였으나 무언가를 잃어버린 듯 허전한 기분이 들었다. 	허전한	허전한 마음을 달래며 빨래를 걷었다.	허전한
착잡하다	바라볼 수 밖에 없는 자신과 상황이 착잡했다.	착잡했다	잘가라는 인사와 함께 손을 흔들고 착잡한 마음을 뒤로 했다. 	착잡한	여름의 착잡한 낮이 지났다.	착잡한	함께 열의를 불태우며 시작했던 때와는 달라진 그를 보는 마음 한구석이 찹작했다.	착잡했다	앞으로의 일들만 생각하면 착잡한 마음뿐이었다.	착잡한	예정에도 없던 이사를 하게 되어 착잡하게 짐을 싸기 시작했다.	착잡하게
처량하다	행복한 친구들에게 남몰래 순위를 매기는 스스로가 처량했다. 본인이 최저 등수여서이기도 했고.	처량했다	처량한 우산을 애써 쓰기보단 뛰어가는 게 나았다.	처량한	울먹이며 건넨 따뜻한 손이 처량하게 느껴졌다. 	처량하게	남에게 의지해야만 일상을 영위할 수 있는 처지가 처량했다.	처량했다	비를 맞으며 처량하게 길거리를 돌아다녔다.	처량하게	무지한 지도자에게 간언하는 스스로가 처량하게 느껴졌다. 	처량하게
걱정하다	나는 그가 아니라, 저조차 뒤로하는 그의 뒷모습을 걱정했다. 	걱정했다	걱정하는 사람은 잘 보이지 않습니다, 안타깝게도.	걱정하는	당시의 나는 걱정이 섞인 질문들에 친절히 대답할 여유가 없었다. 	걱정	동네에서 모습도 보이지 않고 연락도 되지 않아 걱정했다. 	걱정했다	걱정도 잠시 또다시 오만하게 구는 모습이 어리석어 보였다.	걱정	걱정하는 모습도 잠시 본인의 뜻대로 흘러가는 상황에 웃음이 절로 나오는 듯 했다. 	걱정하는
고뇌하다	어떻게 해야 의미있는 시간을 보낼 수 있을지를 고뇌하며 시간을 보냈다.	고뇌하며	그 철학자가 마음껏 고뇌하느라 그 외의 것들을 타인이 해주기를 당연시하는 건방진 꼴이 마음에 들지 않았다. 	고뇌하느라	고뇌가 가득한 얼굴을 가진 사람은 누군가를 비난할 자격을 갖는다. 통상적으로. 	고뇌	그의 고뇌하는 모습이 신문에 실리자 사람들은 열광했다.	고뇌하는	사업이 어려움을 겪자 고뇌하며 새로운 방안을 찾아야만 했다.	고뇌하며	차마 손을 쓰지 못한 고뇌들이 방에 가득해 질식할 지경이었다.	고뇌
구슬프다	사라진 고향을 그리워하는 마음은 몹시 구슬펐다. 	구슬펐다	구슬픈 울음도 타인에게 인정받기 전까지는 그저 소음에 불과합니다.	구슬픈	도축장의 가축들은 매번 구슬프게 울었다. 짐승은 제 상황을 알 리 없었지만 그건 명백한 두려움이었다.	구슬프게	구슬픈 눈물도 어떠한 도움이 되지는 못했다.	구슬픈	그 독재자는 구슬프게 애원하는 사람들의 손길을 쳐내며 앞으로 나아갔다. 	구슬프게	폐업한 백화점에는 고장난 스피커의 구슬픈 노래가 흘러나올 뿐이었다. 	구슬픈
망설이다	사실 내가 어떻게 다 알겠어, 하고 깊이 조언하는 것을 망설였다. 	망설였다	망설이는 마음을 알았는지, 그녀는 나를 조용히 바라보았다.	망설이는	망설이며 끝내 선택하지 않았다면, 무언가를 버린 거예요. 	망설이며	그 기사는 신분의 차이로 인해 다가가기를 망설였다. 	망설였다	그녀는 새로운 도전 앞에서 망설이는 나에게 확신을 주었다. 	망설이는	나의 망설임이 그를 애닳게 하였나보다.  	망설임
딱하다	정해진 곳 없이 그저 떠돌기만 하는 처지가 딱했다.	딱했다	딱한 처지에도 남을 도우려는 마음이 기특하구나.	딱한	딱하게도 신은 응답하지 않아. 	딱하게	스스로가 너무나도 가엾고 딱했다. 그것이 모든 합리화의 근거가 되어주었다.	딱했다	배신당해 길가로 내쫓긴 그는 고생을 제법 했는지 딱한 모양새였다. 	딱한	하루종일 정신없이 끌려다니기만 하는 그의 처지가 딱했다. 	딱했다
번뇌하다	늙은 황제는 후사 문제로 번뇌하였다.	번뇌하였다	깊이 번뇌하는 배우의 모습이 인상깊었다. 	번뇌하는	속세의 번뇌에서 벗어난 삶을 선택하였다. 	번뇌	그 사업가는 자신의 성공과 자식들의 행복을 두고 번뇌하였다. 	번뇌하였다	현생에 헌신하면 속세의 번뇌에서 자유로워질 수 있다는 사실에 사람들은 모여들었다. 	번뇌	신실한 신자들은 하루에 세 번 번뇌하고 그 생각들을 곱씹어 끼니를 때우곤 했다. 	번뇌하고
뾰로통하다	하루가 제 마음대로 흘러가지 않아 몹시 뾰로통했다.	뾰로통했다	제 어깨에 기대어 있는 뾰로통한 볼을 살며시 찔렀다. 	뾰로통한	제시간보다 늦게 도착하여 뛰어가자 그는 뾰로통하게 화가 나 있었다. 	뾰로통하게	자신만 쏙 빼고 재미난 시간을 보낸 사실을 알자 뾰로통하게 샘이 나 방에 들어가버렸다.	뾰로통하게	뾰로통한 모습마저 더없이 사랑스러웠다.	뾰로통한	뾰로통한 등을 콕하고 눌렀다. 나름의 사과 신청이었다. 	뾰로통한
