단어	소속	세부소속	예문 1	변형 단어	예문 2	변형 단어	예문 3	변형 단어																	
눈썹을 찡그리며 악을 쓰다	싫다	짜증내다, 불쾌하다	야근 중 컴퓨터가 갑자기 멈추자, 그는 눈썹을 찡그리며 악을 썼다.	눈썹을 찡그리며 악을 썼다	아이가 또 장난감을 부순 것을 보고 엄마는 눈썹을 잔뜩 찡그렸다.	눈썹을 잔뜩 찡그렸다.	지하철에서 발을 밟힌 그녀는 눈썹을 찡그리며 악 소리를 냈다.	눈썹을 찡그리며 악 소리를 냈다.																	
머리카락이 서늘하게 선다	싫다	짜증내다, 화나다	비밀번호를 또 틀리자, 그의 머리카락이 서늘하게 섰다.	머리카락이 서늘하게 섰다	갑작스런 비명 소리에 그의 머리카락이 서늘하게 섰다.	머리카락이 서늘하게 섰다	영화의 긴장감 넘치는 장면에서 그녀의 머리카락이 서늘하게 섰다.	머리카락이 서늘하게 섰다																	
꺼이꺼이 울다	화나다	화나다, 슬프다	꺼이꺼이 울면서 애원했지만, 굳은 그녀의 마음을 돌릴 순 없었다.	꺼이꺼이 울면서	시험 결과가 나쁘자, 학생은 방에 들어가 꺼이꺼이 울었다.	꺼이꺼이 울었다	팀 프로젝트에서 격한 싸움이 났을 때, 한 멤버는 심지어 화가 나서 꺼이꺼이 울고 있었다.	화가 나서 꺼이꺼이 울고 있었다.																	
흐느끼며 울다	화나다	화나다, 슬프다	소중한 물건을 잃어버린 그녀는 자신에 대한 분노와 슬픔으로 흐느끼며 울었다.	흐느끼며 울었다	강아지가 다쳐 급히 병원을 옮긴 후, 주인은 속상한 마음에 흐느끼며 울었다.	흐느끼며 울었따	꾹 참다가 결국 아무도 없는 늦은 시간 화장실에서 조용히 흐느끼며 울었다.	조용히 흐느끼며 울었다.																	
큰 소리로 욕설을 내뱉는다	화나다	화나다	차가 갑자기 멈추자, 그는 큰 소리로 욕설을 내뱉었다.	큰 소리로 욕설을 내뱉었다	최선을 다했지만, 결국 그는 패배했다. 그는 벌떡 일어나 큰 소리로 욕설을 내뱉었다.	큰 소리로 욕설을 내뱉었다.	계속되는 사내 비리에 참지 못해, 근무 시간 중간에 상사에게 큰 소리로 욕설을 뱉었다.	큰 소리로 욕설을 뱉었다.																	
이를 간다	화나다	화나다	상사의 무리한 요구에 그는 화가 나서 이를 갈았다.	이를 갈았다	말도 안 되는 판정이었다. 선수는 화가 나서 이를 갈았다.	이를 갈았다	그는 억울한 대우를 잘 견디는 사람 같았지만, 이를 갈며 복수를 엿보고 있었다.	이를 갈며																	
이마와 목 주변의 혈관이 부풀어 오르며 붉게 변한다	화나다	화나다	격렬한 토론이 이어졌고, 그의 이마와 목 주변의 혈관이 부풀어 오르며 붉게 변했다.	이마와 목 주변의 혈관이 부풀어 오르며	노인은 편의점에서 계속해서 행패를 부렸고, 이마에는 선명하게 굵은 혈관이 보였다.	선명하게 굵은 혈관	언성을 높이며, 상사는 날이 선 말들을 뱉었다. 목은 붉게 변했고, 핏줄은 터질 듯 했다.	목은 붉게 변했고, 핏줄은 터질 듯 했다.																	
이마를 찌푸리다	화나다	불쾌하다	그의 불쾌한 표정으로 이마를 찌푸리며 모두에게 분명하게 불만을 표현했다.	이마를 찌푸리며	사람들이 계속해서 크게 소리를 지르자, 그녀는 이마를 찌푸리며 불쾌감을 표했다.	이마를 찌푸리며	회의 중에 누군가가 무례한 말을 하자, 그는 자신도 모르게 순각적으로 이마를 찌푸렸다.	이마를 찌푸렸다																	
코를 찡그리다.	화나다	불쾌하다	쓰레기통에서 나는 악취에 그는 코를 찡그렸다.	코를 찡그렸다	아이는 브로콜리를 보자마자 코를 찡그리며 거부감을 드러냈다.	코를 찡그리며	그녀는 상대방의 제안이 마음에 들지 않아 코를 찡그렸다.	코를 찡그렸다																	
더 이상 행동하고 싶지 않아 한다.	슬프다	우울하다	그는 우울해져서 더 이상 아무것도 하고 싶지 않다고 말했다.	아무것도 하고 싶지 않다고	우울한 감정이 그를 사로잡았다. 그저 계속해서 가만히 있을 뿐이었다.	계속해서 가만히 있을	오늘은 우울해서 아무 것도 하고 싶지 않은 날이었다.	아무 것도 하고 싶지 않은 날이었다																	
몸을 앞뒤로 살살 움직인다.	슬프다	외롭다	어머니가 아이일 때 안고 흔들어주었듯이. 외로움에 빠진 그는 몸을 앞뒤로 움직이며 스스로를 위로했다.	몸을 앞뒤로 움직이며	홀로 공원 벤치에 앉아서, 그는 외로움에 쪼그려 앉아 몸을 앞뒤로 살살 움직였다.	몸을 앞뒤로 살살 움직였다	외로움을 달래기 위해, 그는 음악에 맞춰 몸을 앞뒤로 살살 움직였다.	몸을 앞뒤로 살살 움직였다																	
얼굴이 창백해진다.	슬프다	슬프다	그 소식을 듣자마자 그의 얼굴이 창백해지며 슬픔이 역력했다.	얼굴이 창백해지며	영화가 끝나자, 계속해서 슬퍼한 그녀의 얼굴이 창백해져있었다.	얼굴이 창백해져있었다.	그의 얼굴은 점점 창백해지며 패닉에 빠진 듯 했다. 반려동물을 잃어버린지 하루가 지났다.	얼굴은 점점 창백해지며																	
근육은 흐물흐물해지고 눈꺼풀이 축 처진다.	슬프다	서운하다	친구의 배신을 듣고 그의 근육은 흐물흐물해지며 눈꺼풀이 축 처졌다.	근육은 흐물흐물해지며 눈꺼풀이 축 처졌다	그녀는 서운함에 몸이 힘을 잃고 눈꺼풀이 축 처졌다.	몸이 힘을 잃고 눈꺼풀이 축 처졌다	정신적으로 큰 충격을 받아 그의 근육은 흐물흐물해지고 눈꺼풀이 축 처졌다.	근육은 흐물흐물해지고 눈꺼풀이 축 처졌다																	
입술, 뺨 그리고 아래턱은 모두 그 무게로 아래로 쳐진다.	슬프다	우울하다, 실망하다	그는 우울함과 실망감에 입술, 뺨 그리고 아래턱이 모두 쳐졌다. 어디에도 힘을 줄 수 없었다.	입술, 뺨 그리고 아래턱이 모두 쳐졌다	우울하고 실망한 분위기에서 그녀의 입술, 뺨, 아래턱이 모두 쳐졌다.	입술, 뺨, 아래턱이 모두 쳐졌다	이번에도 회사에서 온 불합격 소식을 듣고 그의 얼굴은 힘 없이 쳐졌다.	얼굴은 힘 없이 쳐졌다.																	
모든 모습이 축 늘어진다.	슬프다	슬프다, 억울하다	시험 결과를 본 뒤, 그녀는 모든 모습이 축 늘어져 친구들 사이에서 조용히 서 있었다.	모든 모습이 축 늘어져	비가 오는 날, 아무것도 하기 싫은 무기력함이 쏟아졌다. 창밖을 바라보며 몸을 웅크리고 축 늘어진 모습으로 계속 있었다.	창밖을 바라보며 몸을 웅크리고 축 늘어진 모습	소중한 장난감을 결국 찾지 못한 아이가 집으로 돌아오니, 모든 모습이 축 늘어졌다.	모든 모습이 축 늘어졌다.																	
얼굴이 내려앉는다.	슬프다	우울하다	친구들과의 싸움 후, 그의 얼굴은 완전히 내려앉아 있었다.	얼굴은 완전히 내려앉아	그녀는 생일파티에 아무도 오지 않자 얼굴이 내려앉았다.	얼굴이 내려앉았다	매일 저녁, 일에서 돌아올 때마다 그의 얼굴이 점점 더 내려앉아 갔다. 그는 지쳐가고 있었다.	얼굴이 점점 더 내려앉아																	
눈에 활기가 없어지고 표정도 사라진다.	슬프다	외롭다, 우울하다	오랜 시간을 혼자 보낸 뒤, 그녀의 눈은 활기를 잃고 표정도 사라졌다.	눈은 활기를 잃고 표정도 사라졌다	주말 내내 집에 혼자 있던 그는 눈에 활기가 없고 표정이 없는 채로 학교에 나타났다.	눈에 활기가 없고 표정이 없는 채로	누군가와 이별한 후, 사람들은 종종 눈에 활기가 없어지고 표정도 사라지곤 한다.	눈에 활기가 없어지고 표정도 사라지곤 한다																	
약간은 눈물을 머금는다.	슬프다	눈물겹다	영화관에서 그녀는 감동적인 장면에 약간 눈물을 머금었다.	약간 눈물을 머금었다	이별의 순간, 그는 약간 눈물을 머금고 조용히 고개를 숙였다.	약간 눈물을 머금고	할머니의 옛 이야기를 듣는 동안, 손녀는 약간 눈물을 머금었다.	약간 눈물을 머금었다																	
눈썹이 가운데로 몰리고, 안쪽 끝이 올라간다.	슬프다	그립다	이제는 만날 수 없는 친구의 사진을 보며, 그의 눈썹은 가운데로 몰리고 안쪽 끝이 올라갔다.	눈썹은 가운데로 몰리고 안쪽 끝이 올라갔다	집을 떠나온 지 오래된 그는 가족을 생각하며 눈썹이 가운데로 몰린 채 올라갔다.	눈썹이 가운데로 몰린 채 올라갔다.	어린 시절의 추억을 회상하며 그녀의 눈썹은 가운데로 몰리고 안쪽 끝이 올라갔다.	눈썹은 가운데로 몰리고 안쪽 끝이 올라갔다																	
입가가 아래로 처진다.	슬프다	실망하다	기대했던 선물을 받지 못하자 아이의 입가가 아래로 처졌다.	입가가 아래로 처졌다	밤낮없이 사력을 다했던 프로젝트가 취소되자 팀원 모두의 입가가 아래로 처졌다.	입가가 아래로 처졌다	최선을 다했던 경기에서 지자 선수의 입가가 아래로 처지며 실망감을 드러냈다.	입가가 아래로 처지며																	
호흡이 완만해지고 약해진다.	슬프다	우울하다	그녀는 부고 소식을 듣고 충격으로 호흡이 완만해지고 약해졌다.	호흡이 완만해지고 약해졌다	오랜 기간 지속적인 스트레스를 받으며 그의 호흡은 점점 완만해지고 약해졌다.	호흡은 점점 완만해지고 약해졌다	그는 침대에 누워 나오지 않았다. 호흡이 점점 약해졌다. 그는 지금 깊은 슬픔 속에서 헤엄치고 있다.	호흡이 점점 약해졌다.																	
깊은 한숨을 내쉰다.	슬프다	후회하다	그녀는 과거의 결정을 후회하며 깊은 한숨을 내쉬었다.	깊은 한숨을 내쉬었다	내가 왜 그랬을까, 후회하면서 한숨만 깊게 쉬었다.	한숨만 깊게 쉬었다	후회가 밀려오면서, 나는 무의식적으로 깊은 한숨을 내쉬었다.	깊은 한숨을 내쉬었다																	
계속 울다가 목구멍에서 치밀어 오르는 듯한 느낌을 받다.	슬프다	눈물겹다, 미안하다	그가 너무나도 담담하게 그 소식을 얘기해서, 내가 오히려 목구멍에서 무언가 치밀어 오르는 듯한 느낌을 받았다.	목구멍에서 무언가 치밀어 오르는 듯한 느낌을 받았다.	미안한 마음에 울면서, 목구멍이 차오르는 것을 느꼈다.	목구멍이 차오르는 것을 느꼈다.	눈물겹도록 슬픈 영화를 보고 나서, 반복적으로 계속해서 울다가 목구멍이 차오르는 듯 했다.	계속해서 울다가 목구멍이 차오르는 듯 했다.																	
너무 슬퍼서 목이 멘다.	슬프다	슬프다	소식을 듣자마자 너무 슬퍼서 말도 못 하게 목이 메었다.	너무 슬퍼서 말도 못 하게 목이 메었다	괜찮은 듯 했지만 뒤늦게 밀려온 슬픔은 날 더 힘들겠다. 너무 울어서 목이 멘다.	너무 울어서 목이 멘다.	그녀의 이별 소식에 목이 메어 오는 슬픔을 느꼈다.	목이 메어 오는 슬픔을 느꼈다																	
기뻐 날뛴다.	행복하다	기쁘다, 신나다	수년 간의 노력 끝에 대학 합격 소식을 듣자 기쁘고 신나서 방안에서 기뻐 날뛰었다.	기뻐 날뛰었다	그녀가 고백을 받아주자 기쁜 마음에 어디론가 달려가고 싶을 만큼 신나서 날뛰었다.	날뛰었다	그녀는 그 자리에서 기쁘게 날뛰었다. 그녀는 생일 선물로 받은 선물이 마음에 드나보다.	기쁘게 날뛰었다.																	
손뼉을 친다.	행복하다	행복하다	소중한 사람의 성공을 보며 행복해하며 손뼉을 쳤다.	손뼉을 쳤다	프로젝트가 성황리에 끝나 구성원들 모두 손뼉을 치며 축하했다.	손뼉을 치며	오랜만에 평화롭게 행복한 순간, 모두가 함께 손뼉을 치며 서로를 환영했다.	손뼉을 치며																	
발을 구르며 크게 웃는다.	행복하다	행복하다	아이는 원하던 장남감을 손에 넣어 바닥에 발을 구르면서 크게 웃었다.	발을 구르면서 크게 웃었다	오랜만에 느껴보는 남자친구의 품에 그녀는 발을 구르며 행복하게 웃었다.	발을 구르며 행복하게 웃었다.	고대하던 순간이 다가오자, 발을 구르며 신나했다.	발을 구르며																	
온화한 웃음을 짓는다.	행복하다	기쁘다	그녀의 성공을 보며 온화한 웃음을 지으며 기뻐했다.	온화한 웃음을 지으며	오랜 친구를 만나 온화한 웃음으로 환영하는 마음을 표현했다.	온화한 웃음으로	아들의 기쁜 소식을 듣고 흐뭇하고 온화하게 웃었다. 잔잔한 행복이 기쁨이 마음에 펴졌다.	온화하게 웃었다.																	
환한 웃음을 짓는다.	행복하다	행복하다	소중한 사람과의 재회에 환한 웃음을 지으며 행복해했다.	환한 웃음을 지으며	성공의 순간, 모두가 환한 웃음으로 그 행복을 나눴다.	환한 웃음으로	우리 모두 고생 끝에 펼쳐진 아름다운 풍경을 보며 환하게 웃으며 행복을 느꼈다.	환하게 웃으며																	
뺨이 불그스레해졌다.	감동하다	선호하다	소녀는 좋아하는 책을 이야기할 때 뺨이 불그스레해진다.	뺨이 불그스레해진다.	좋아하는 사람 앞에서는 왠지 모르게 뺨이 불그레해진다.	뺨이 불그레해진다.	그의 칭찬에 뺨이 불그스레해지며 기뻐하는 감정이 드러났다.	뺨이 불그스레해지며																	
너무 웃어 눈물이 나다.	행복하다	기쁘다	아빠가 해주는 옛날 얘기는 언제 들어도 눈물나게 웃기다.	눈물나게 웃기다.	3수 끝에 대학 입학, 나는 웃으며 울었다. 미친듯이 기뻤다.	웃으며 울었다.	그녀가 웃다가 운 것은 미친 것이 아니다. 너무 웃으면 눈가의 근육이 자극되어 눈물샘에서 눈물이 나오기도 한다.	웃다가 운 것																	
심호흡을 통한 횡경막 이완	편안하다	편안하다	명상을 마친 후 심호흡을 하며 횡격막이 이완되는 것을 느꼈다.	횡격막이 이완되는 것을 느꼈다	3시간 같았던 30분의 발표가 끝난 후, 긴장을 풀렸다. 심호흡을 하니 몸 전체가 편안해졌다.	심호흡	산책을 하며 깊은 호흡을 반복하니 마음이 차분해졌다.	깊은 호흡을 반복하니																	
입이 크게 벌어진다.	감동하다	감동하다	감동적인 연주회에서 입이 크게 벌어졌다.	입이 크게 벌어졌다	아름다운 일출을 보며 입이 크게 벌어졌다. 절경이었다.	입이 크게 벌어졌다	자녀의 첫걸음을 보고 입이 크게 벌어져 감동했다.	입이 크게 벌어져																	
입언저리가 뒤로 당겨진다.	감동하다	부럽다	친구의 새 차를 보고 나도 모르게 입이 다물어졌고, 입언저리가 뒤로 당겨졌다.	입언저리가 뒤로 당겨졌다	동료의 승진 소식은 축하할 일이다. 허나 입언저리가 뒤로 당겨졌다. 덩달아 코도 찡긋거려졌다.	입언저리가 뒤로 당겨졌다	이웃의 여행 이야기를 듣고 부러움에 입언저리가 당겨졌다.	입언저리가 당겨졌다.																	
입과 눈 주변에 주름이 생긴다.	감동하다	애틋하다	오랜만에 만난 친구를 바라보며 눈 주변에 주름이 생길 정도로 환하게 웃었다.	눈 주변에 주름이 생길	환하게 웃으니 생기는 그녀의 미소에 있는 주름마저 예뻐보였다.	미소에 있는 주름	오늘도 그녀가 알바하고 있다. 그녀는 눈 주변에 주름이 생길 정도로 늘 환하게 맞이 해준다.	눈 주변에 주름이 생길																	
흥겨워진다. 혈액 순환이 빨라진다.	편안하다	공감하다, 정겹다	좋아하는 노래를 듣고 흥겨워지며 혈액 순환이 빨라졌다.	흥겨워지며 혈액 순환이 빨라졌다	고민 상담 중 깊은 공감을 느낀 그녀는 자신의 무릎을 치면서, 흥분했다.	흥분했다.	가족과 함께 오래만에 춤을 추며 흥겨워지고 혈액 순환이 빨라졌다.	흥겨워지고 혈액 순환이 빨라졌다																	
눈이 빛나고 안색이 좋아진다.	감동하다	감동하다	그녀의 눈이 빛나며 안색이 좋아졌다. 받은 반지가 마음에 들었나보다.	눈이 빛나며 안색이 좋아졌다	소중한 사람으로부터 감사의 말을 듣고 안색이 밝아지며 눈이 빛났다.	안색이 밝아지며 눈이 빛났다	아름다운 자연 풍경 앞에서 감동받아 눈이 빛나고 안색이 좋아졌다.	눈이 빛나고 안색이 좋아졌다																	
혈액의 흐름이 증진됨에 따라 두뇌는 자극받고, 정신력에 좋은 영향을 준다.	편안하다	안정되다	조용한 음악을 들으니, 정신이 안정되고 있었다.	정신이 안정되고 있었다.	의사는 내게 좋은 음식과 적절한 운동을 통해, 혈액 순환을 증진시키면 자연스레 안정될 것이라 조언했다.	혈액 순환을 증진시키면 자연스레 안정	산책을 하며 혈액 순환이 개선하고 정신력이 안정되는 것을 느꼈다.	혈액 순환이 개선되고 정신력이 안정되는																	
당당한 모습을 보인다.	편안하다	안정되다	친구가 모두에게 외면 당해도 그는 당당하게 친구를 지지했다.	당당하게	당당한 그의 태도는 모두가 그를 신뢰하게 했다. 누군가는 뻔뻔하다 여길 정도다.	당당한	팀원들 앞에서 당당하게 프로젝트 제안을 발표했다. 밤낮으로 고생했던 보람이 있다.	당당하게																	
눈을 크게 뜬다.	행복하다	행복하다, 놀라다	선물을 받고 놀라움을 느끼며, 눈을 크게 떴다. 그녀가 사기에는 너무 비싼 선물이었다.	눈을 크게 떴다	그가 돌아왔다는 소식을 듣고, 행복함에 눈을 크게 떴다. 오랫동안 기다려온 소식이었다.	눈을 크게 떴다	갑자기 그녀가 내 앞에 나타났고, 나는 눈을 크게 떴다. 약속 잡기도 어려운 그녀를 우연히 마주치다니, 너무나도 기뻤다.	눈을 크게 떴다																	
이마 주름을 편다.	편안하다	편안하다	휴가 중에 편안한 분위기에서 이마의 주름을 펴며 쉬었다.	이마의 주름을 펴며 	스트레스에서 벗어나 편안한 집에서 휴식을 취했다. 그녀의 얼굴에는 주름을 찾아볼 수 없었다.	주름을 찾아볼 수 없었다.	명상을 통해 마음이 편안해지며 자연스럽게 이마 주름을 펴게 되었다. 그제서야 나는 늘 찡그리고 다녔다는 걸 깨달았다.	이마 주름을 펴게 되었다																	
눈썹, 눈꺼풀, 콧구멍, 입 언저리가 올라간다.	행복하다	기쁘다	그의 온몸이 기쁨을 표하고 있었다. 눈썹, 눈꺼풀, 콧구멍, 입 언저리가 잔뜩 올라갔다.	눈썹, 눈꺼풀, 콧구멍, 입 언저리가 올라간다.	좋은 소식을 듣고 기쁨으로 얼굴의 표정이 밝아졌다.	얼굴의 표정이 밝아졌다	담담한 척 했지만, 아이의 눈썹과 입가는 살며시 올라갔다.	눈썹과 입가는 살며시 올라갔다.																	
치아로 아랫입술을 꽉 깨문다.	싫다	짜증내다	아직도 이해가 안된다 왜 참고만 있어야 하는지. 아랫입술을 꽉 깨물었다.	아랫입술을 꽉 깨물었다.	꾸짖음을 잔뜩 들은 동기는 괜찮다고 계속해서 말했다. 거짓말이다. 그는 아랫입술을 힘껏 깨물고 있었다.	아랫입술을 힘껏 깨물고 있었다.	그 아이는 잔뜩 화가 나서, 온몬에 힘을 준 채로 입을 앙 다물고 입술을 세게 물고 있었다.	입술을 세게 물고 있었다.																	
껴안고 싶어 한다.	행복하다	좋다	할아버지는 오랜만에 가족 모두가 모인 것에 행복해하며 손자를 껴안고 싶어했다.	껴안고 싶어했다.	그녀는 행복한 미소를 지으며 오랫동안 보지 못한 친구를 껴안고 싶어 했다.	껴안고 싶어 했다.	행복한 순간, 나는 그녀를 껴안기 위해 달려갔다. 다른 사람의 시선 따윈 상관 없었다.	껴안기																	
닿고 싶어 한다.	행복하다	좋다	나는 그녀의 손길을 강렬하게 원하고 있다. 당장이라고 어디든 그녀와 닿았으면 좋겠다.	닿았으면	그녀의 손을 잡는 것을 힘들게 참고 있다. 새끼 손가락만 살짝. 아주 살짝 닿을 뿐이다. 그것만으로 좋지만 더 닿고 싶다.	더 닿고 싶다.	따뜻한 햇살이 얼굴에 닿고 있자, 마음 깊은 곳에서부터 만족감이 솟구쳐 올랐다.	닿고 있자																	
서로를 어루만진다.	감동하다	선호하다	우리는 끊임없이 서로를 어루만졌다. 시간이 얼마나 지났을까. 벌써 아침이 되었다.	서로를 어루만졌다.	그녀의 따뜻한 말은 나의 마음을 어루만져줬다.	어루만져줬다.	서로를 어루만지는 것은 서로의 사랑을 느끼는 가장 좋은 방법이다. 나는 그걸 몸소 느끼고 있다. 	서로를 어루만지는 것																	
목을 손으로 감싸 안다.	감동하다	애틋하다	장기간의 이별 후, 그들은 서로의 목을 감싸 안으며 애틋한 감정을 나누었다.	목을 감싸 안으며	목을 손으로 감싸 안는 그의 행동에서 애틋함이 느껴졌다.	목을 손으로 감싸 안는	어머니는 아이의 목을 감싸 안으며, 애틋한 마음을 전했다.	목을 감싸 안으며																	
